[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000929s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000526s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000595s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000582s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000647s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.011074s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011169s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000384s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000425s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000234s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000462s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001673s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000429s ]
[ 2015-02-24T00:01:14+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000486s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002413s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002942s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000810s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000931s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000753s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000862s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.013521s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013624s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000337s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000370s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000211s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000379s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001447s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000370s ]
[ 2015-02-24T00:01:15+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000419s ]
[ 2015-02-24T00:01:40+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-24T00:02:42+08:00 ] /thinkphpTest/creatCode.php?code=2b4f | ERR: (ThinkException) 无法加载模块creatCode.php
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002229s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002500s ]
