[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014947s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015030s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000842s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000922s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000509s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000682s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003249s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000672s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000779s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.000849s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000967s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000576s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000640s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003536s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.004702s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Undefined index:  content IndexAction.class.php 第 7 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
