[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001515s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001593s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010316s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010402s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000759s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000755s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000637s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000869s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003180s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000830s ]
[ 2015-02-17T21:54:28+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000883s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001632s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001775s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004272s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.004613s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001510s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001570s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.060536s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.060632s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000862s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000820s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000621s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000899s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003371s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001407s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001504s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001607s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002017s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002719s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.003353s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001866s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002055s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.016445s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016717s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000849s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000818s ]
