[ 2015-03-01T23:15:51+08:00 ] /thinkphpTest/ueditor/themes/default/ueditor.css | ERR: (ThinkException) 无法加载模块ueditor
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001398s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002117s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002350s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013949s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014102s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001190s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001571s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001034s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001194s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005164s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001345s ]
[ 2015-03-01T23:28:23+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001403s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001428s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001525s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001417s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001488s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.003419s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003612s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019119s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019233s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001537s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001610s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001449s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001967s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006823s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003730s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004056s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001165s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001263s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000897s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000952s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001429s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001495s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012620s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012701s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000820s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000797s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000649s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000834s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003255s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000826s ]
[ 2015-03-01T23:28:39+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000879s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001834s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001950s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001520s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001593s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002241s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002312s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025081s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025165s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001150s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001477s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001347s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001195s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005368s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001204s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001265s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001555s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001653s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001302s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001358s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001920s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001982s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015650s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015733s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001186s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001189s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001038s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001212s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004783s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001224s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001279s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001334s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001425s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001835s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001995s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001916s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001978s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014356s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014439s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001233s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001222s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001037s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001217s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004869s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001240s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001294s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002166s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002342s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001485s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001555s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001907s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001968s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014034s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014116s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001641s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001288s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001423s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001236s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005792s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001225s ]
[ 2015-03-01T23:28:56+08:00 ] /thinkphpTest/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001281s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002480s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002635s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003122s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003425s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004682s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005013s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000333s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002654s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.003352s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002199s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002273s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022816s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022888s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001231s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001173s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001067s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001187s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004810s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001216s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001269s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001490s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001608s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001367s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001424s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004845s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005135s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000268s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002465s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.002871s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001781s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001839s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019063s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019146s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001301s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001185s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001048s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001300s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005002s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001267s ]
[ 2015-03-01T23:29:10+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001324s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Tag[ route_check ] --START--
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Run CheckRoute Behavior [ RunTime:0.002134s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002284s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001538s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001606s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.007577s ]
[ 2015-03-01T23:29:11+08:00 ] /thinkphpTest/Memo/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_memo` LIMIT 1   [ RunTime:0.005929s ]
