[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run CheckRoute Behavior [ RunTime:0.000800s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --END-- [ RunTime:0.000889s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --START--
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000483s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000538s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.004637s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SELECT * FROM `think_memo`  [ RunTime:0.005065s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --START--
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run LocationTemplate Behavior [ RunTime:0.001566s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --END-- [ RunTime:0.001622s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --START--
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ParseTemplate Behavior [ RunTime:0.012921s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013024s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --START--
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ContentReplace Behavior [ RunTime:0.000942s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run TokenBuild Behavior [ RunTime:0.001409s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001748s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowRuntime Behavior [ RunTime:0.001446s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005896s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --START--
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowPageTrace Behavior [ RunTime:0.001363s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --END-- [ RunTime:0.001438s ]
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/Public/Css/home/bootstrap-theme.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:02:47+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run CheckRoute Behavior [ RunTime:0.000883s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --END-- [ RunTime:0.001165s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000480s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.006681s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | SQL: SELECT * FROM `think_memo`  [ RunTime:0.005260s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run LocationTemplate Behavior [ RunTime:0.001096s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --END-- [ RunTime:0.001167s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ParseTemplate Behavior [ RunTime:0.014666s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014781s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ContentReplace Behavior [ RunTime:0.000472s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run TokenBuild Behavior [ RunTime:0.000465s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000198s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowRuntime Behavior [ RunTime:0.000354s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001645s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowPageTrace Behavior [ RunTime:0.000404s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --END-- [ RunTime:0.000459s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/Public/Css/home/bootstrap-theme.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run CheckRoute Behavior [ RunTime:0.003514s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --END-- [ RunTime:0.003996s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000818s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000952s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.041698s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | SQL: SELECT * FROM `think_memo`  [ RunTime:0.005163s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run LocationTemplate Behavior [ RunTime:0.000704s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --END-- [ RunTime:0.000776s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ParseTemplate Behavior [ RunTime:0.010505s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010601s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ContentReplace Behavior [ RunTime:0.000485s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run TokenBuild Behavior [ RunTime:0.000400s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000277s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowRuntime Behavior [ RunTime:0.000852s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002348s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --START--
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowPageTrace Behavior [ RunTime:0.000417s ]
[ 2015-02-18T00:03:18+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --END-- [ RunTime:0.000475s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run CheckRoute Behavior [ RunTime:0.001594s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --END-- [ RunTime:0.001736s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002214s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002402s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.004147s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SELECT * FROM `think_memo`  [ RunTime:0.019802s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run LocationTemplate Behavior [ RunTime:0.000635s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --END-- [ RunTime:0.000708s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ParseTemplate Behavior [ RunTime:0.008543s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008623s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ContentReplace Behavior [ RunTime:0.000340s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run TokenBuild Behavior [ RunTime:0.000346s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000203s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowRuntime Behavior [ RunTime:0.000381s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001418s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ShowPageTrace Behavior [ RunTime:0.000380s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_end ] --END-- [ RunTime:0.000431s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/Public/Css/home/bootstrap-theme.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run CheckRoute Behavior [ RunTime:0.001617s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ route_check ] --END-- [ RunTime:0.001743s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --START--
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001290s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001406s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.002783s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | SQL: SELECT * FROM `think_memo`  [ RunTime:0.005315s ]
[ 2015-02-18T00:04:47+08:00 ] /thinkphpTest/index.php/Memo | INFO: Tag[ view_template ] --START--
