[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_parse ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  memo 2387c9611647ca5bbeeb0c2824eaf5f8.php 第 44 行.
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | NOTIC: [8] Undefined index:  works 2387c9611647ca5bbeeb0c2824eaf5f8.php 第 45 行.
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ParseTemplate Behavior [ RunTime:0.010800s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010884s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_filter ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ContentReplace Behavior [ RunTime:0.000410s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run TokenBuild Behavior [ RunTime:0.000380s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000211s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ShowRuntime Behavior [ RunTime:0.000384s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001534s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_end ] --START--
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000432s ]
[ 2015-05-23T19:03:46+08:00 ] /thinkphpTest/Index/blog/id/49 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000512s ]
