[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | INFO: Run CheckRoute Behavior [ RunTime:0.000835s ]
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | INFO: Tag[ route_check ] --END-- [ RunTime:0.000941s ]
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | INFO: Tag[ app_begin ] --START--
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000554s ]
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000623s ]
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004291s ]
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | NOTIC: [4096] Argument 1 passed to ArticleAction::getAbstract() must be an instance of string, string given, called in D:\program\wamp\www\thinkphpTest\Admin\Lib\Action\ArticleAction.class.php on line 242 and defined ArticleAction.class.php 第 282 行.
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | NOTIC: [8] Undefined index:  dropdown ArticleAction.class.php 第 247 行.
[ 2015-03-02T00:05:06+08:00 ] /thinkphpTest/admin.php/Article/save | SQL: INSERT INTO `think_article` (`title`,`content`,`abstract`,`author`,`createTime`,`lastModifyTime`,`isSubmitted`,`categoryId`) VALUES ('f\'f\'fa','<p>f&#39;f&#39;fa&#39;f&#39;f&#39;f</p>','f&#39;f&#39;fa&#39;f&#39;f&#39;f','sch','2015-03-02 00:05:06','2015-03-02 00:05:06',0,null) [ RunTime:0.004860s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ route_check ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run CheckRoute Behavior [ RunTime:0.001213s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ route_check ] --END-- [ RunTime:0.001383s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ app_begin ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000955s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004294s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.005305s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 0,5   [ RunTime:0.000793s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_template ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run LocationTemplate Behavior [ RunTime:0.004593s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_template ] --END-- [ RunTime:0.004874s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_parse ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  dashboard 4cf132cdb6642034410dbfb2ab3160bc.php 第 37 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 41 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  new_memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 45 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  manage_memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 46 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  new_article 4cf132cdb6642034410dbfb2ab3160bc.php 第 53 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  manage_article 4cf132cdb6642034410dbfb2ab3160bc.php 第 54 行.
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ParseTemplate Behavior [ RunTime:0.037893s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038005s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_filter ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ContentReplace Behavior [ RunTime:0.000375s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run TokenBuild Behavior [ RunTime:0.000393s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000238s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ShowRuntime Behavior [ RunTime:0.001932s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003243s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_end ] --START--
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ShowPageTrace Behavior [ RunTime:0.000789s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_end ] --END-- [ RunTime:0.000928s ]
[ 2015-03-02T00:05:16+08:00 ] /thinkphpTest/admin.php/Article/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ route_check ] --START--
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run CheckRoute Behavior [ RunTime:0.000840s ]
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000951s ]
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ app_begin ] --START--
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000545s ]
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000608s ]
[ 2015-03-02T00:05:21+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004742s ]
